episode,agent_id,total_reward,success,evacuation_time,distance_travelled,direct_distance,path_efficiency,collisions_obstacle,collisions_agent,total_collisions,stationary_steps,congestion_ratio,discovery_steps,info_sharing_steps,communication_efficiency,group_success_rate,coordination_index,bottleneck_time,near_miss_events,safety_violations,risk_exposure_time,time_to_first_movement,exploration_time,exploration_ratio,waiting_time,scenario_id,algorithm,num_obstacles,num_exits,num_agents,initial_position,trajectory
1,agent_0,-10.362539699281644,1,16,1.2458885484503706,1.4062206308226026,1.1286889445862973,2,6,8,1,0.0625,16,16,1.0,1.0,0.9999145710255966,2,10,18,2,1,0,0.0,0,2,a2c,0,0,6,"[0.6051950997817677, -0.053695382487010314]","[[0.6051950997817677, -0.053695382487010314], [0.6051950997817677, -0.053695382487010314], [0.5751790071477321, -0.05351156287890342], [0.521150040406468, -0.053180687584311014], [0.44791238364282465, -0.05275054970134088], [0.35931067153540436, -0.052274089277127816], [0.25931175896592595, -0.05180773649026709], [0.15931246981597286, -0.0514306827751649], [0.05931284580332373, -0.05115646146160681], [-0.040686955327213184, -0.05095702763028927], [-0.1406868501400254, -0.050811984786664086], [-0.24068679450381747, -0.05070649906020131], [-0.34068676507639906, -0.05062978215976246], [-0.4406867495114828, -0.05057398804709577], [-0.5406867412787997, -0.050533410509358175], [-0.6406867299078742, -0.05048572209410782]]"
1,agent_1,-39.98357216698346,1,29,2.1609517821319453,1.3619606589193909,0.6302596245695551,9,8,17,1,0.034482758620689655,29,29,1.0,1.0,0.9999145710255966,0,7,24,0,1,0,0.0,0,2,a2c,0,0,6,"[0.4309701923541803, -0.5827943221923615]","[[0.4309701923541803, -0.5827943221923615], [0.4309701923541803, -0.5827943221923615], [0.4009701923541803, -0.5827943221923615], [0.3469701923541803, -0.5827943221923615], [0.2737701923541803, -0.5827943221923615], [0.1852101923541803, -0.5827943221923615], [0.11436219235418027, -0.5527943221923615], [0.02768379235418024, -0.5287943221923614], [-0.07049928240201557, -0.5098184472080751], [-0.16953543600825421, -0.4959678053860689], [-0.26902483897421114, -0.4858752983894184], [-0.3687545485805227, -0.47852784836639906], [-0.46861152274648277, -0.4731813812694478], [-0.5473817453603352, -0.44135508000024987], [-0.6408030111320807, -0.4196634051473564], [-0.7155498883544905, -0.37858378261981646], [-0.8058989005398574, -0.35285839089521764], [-0.8829074905516203, -0.307947844465271], [-0.9485574799757746, -0.24339024880899404], [-1.031924825341465, -0.19177308778343993], [-1.0986187016340174, -0.12047935896299665], [-1.1519738026680593, -0.09344437590664202], [-1.1958429427145385, -0.043962383882670465], [-1.2020521820779413, -0.006350158774427066], [-1.1786128559486468, 0.02310517895222579], [-1.1303037151574706, 0.04662255842471283], [-1.0616564025245296, 0.06543646200270246], [-0.9767385524181769, 0.08048758486509418], [-0.8791544186896856, 0.09360947990030673]]"
1,agent_2,-27.363320450131855,1,29,2.2783057081188494,1.6745193848751092,0.734984501380952,3,4,7,1,0.034482758620689655,29,29,1.0,1.0,0.9999145710255966,0,6,13,0,1,0,0.0,0,2,a2c,0,0,6,"[0.6416115675613802, -0.8519220965532793]","[[0.6416115675613802, -0.8519220965532793], [0.6416115675613802, -0.8519220965532793], [0.6416115675613802, -0.8219220965532793], [0.6116115675613801, -0.7979220965532793], [0.5576115675613801, -0.7787220965532793], [0.48441156756138004, -0.7633620965532792], [0.39585156756138, -0.7510740965532793], [0.29632330055626743, -0.7413723406833854], [0.1965730021555681, -0.7343099070397012], [0.09670512891317481, -0.7291710458778032], [-0.003224970973489491, -0.725432712473558], [-0.1031879948470649, -0.7227135475188345], [-0.20316843606092702, -0.7207358279529057], [-0.28315278903201674, -0.6891536523001626], [-0.3771402714088885, -0.6638879117779681], [-0.475343728591892, -0.6450178032116136], [-0.5539064943382948, -0.59992171635853], [-0.646756706935417, -0.5638448468760631], [-0.7210368770131148, -0.5049833512900895], [-0.780461013075273, -0.42789415482131066], [-0.8585415328232314, -0.3677845107780991], [-0.9234091094149195, -0.2920526734515468], [-1.00451857229989, -0.23356117808246243], [-1.0690598659033548, -0.15717779363275808], [-1.0906929007861268, -0.09607108607299458], [-1.0779993286923444, -0.047185720025183786], [-1.0378444710173185, -0.008077427186935146], [-0.9757205848772977, 0.023209207083663766], [-0.8956713296086901, 0.04715751775484372]]"
1,agent_3,-30.499961340467536,1,27,2.0310894154908397,1.4214924711385877,0.6998670074773962,7,13,20,1,0.037037037037037035,27,27,1.0,1.0,0.9999145710255966,2,17,37,2,1,0,0.0,0,2,a2c,0,0,6,"[0.6135944696735809, -0.14963796581067274]","[[0.6135944696735809, -0.14963796581067274], [0.6135944696735809, -0.14963796581067274], [0.5836105623076164, -0.14982178541877963], [0.5296395290488805, -0.15015266071337205], [0.4564771858125237, -0.1505827985963422], [0.36795889791994396, -0.15105925902055525], [0.2679599871285042, -0.15152599291227226], [0.16796069911847045, -0.1519033488269166], [0.0679610757087554, -0.15217778992291087], [-0.032038725102873825, -0.15237738359635808], [-0.13203861974700754, -0.1525225426889425], [-0.23203856402158118, -0.15262811296015585], [-0.33203853454697285, -0.15270489134770643], [-0.43203851895709666, -0.15276073017828037], [-0.5320149435994725, -0.15058943661744176], [-0.631823159319705, -0.14439911556409282], [-0.7313457335288395, -0.13463913488853166], [-0.8306990563539844, -0.12328496192866706], [-0.9302141860865296, -0.11344936564197933], [-1.010083490687348, -0.07589961474222684], [-1.0739789343680026, -0.07585981402242485], [-1.1250952893125263, -0.04582797344658325], [-1.1348033140488998, -0.019656506564797824], [-1.111455806511779, 0.003254035451564368], [-1.0611845181020991, 0.022216911424595993], [-0.9905251672620958, 0.03743410291185654], [-0.9039976865900932, 0.049607856101664974]]"
1,agent_4,-7.8885610286924885,1,14,1.04576,1.175473842942004,1.1240378700103313,2,0,2,1,0.07142857142857142,14,14,1.0,1.0,0.9999145710255966,2,0,2,2,1,0,0.0,0,2,a2c,0,0,6,"[0.3743268237771287, -0.05191595514255223]","[[0.3743268237771287, -0.05191595514255223], [0.3743268237771287, -0.05191595514255223], [0.3443268237771287, -0.05191595514255223], [0.2903268237771287, -0.05191595514255223], [0.2171268237771287, -0.05191595514255223], [0.12856682377712866, -0.05191595514255223], [0.028566823777128658, -0.05191595514255223], [-0.07143317622287135, -0.05191595514255223], [-0.17143317622287135, -0.05191595514255223], [-0.27143317622287133, -0.05191595514255223], [-0.3714331762228713, -0.05191595514255223], [-0.4714331762228713, -0.05191595514255223], [-0.5714331762228713, -0.05191595514255223], [-0.6714331661367104, -0.051871041535816016]]"
1,agent_5,-23.420274066459054,1,21,1.667704333813182,1.6396739613181666,0.9831922410185716,5,0,5,1,0.047619047619047616,21,21,1.0,1.0,0.9999145710255966,2,0,5,2,1,0,0.0,0,2,a2c,0,0,6,"[0.6712288063946493, 0.7238898387595891]","[[0.6712288063946493, 0.7238898387595891], [0.6712288063946493, 0.7238898387595891], [0.6712288063946493, 0.6938898387595891], [0.6712288063946493, 0.639889838759589], [0.6712288063946493, 0.566689838759589], [0.6712288063946493, 0.478129838759589], [0.6412288063946493, 0.40728183875958895], [0.5872288063946492, 0.35060343875958894], [0.5140288063946492, 0.30526071875958893], [0.4254688063946492, 0.26898654275958894], [0.32936834171714846, 0.2413333207272754], [0.23144400833455586, 0.22106450399874228], [0.1325455751369877, 0.20626248011461917], [0.03312925952614766, 0.19547377350233963], [-0.06656172397788511, 0.18761834175108197], [-0.16639819577030007, 0.18190179558732752], [-0.24626737320423203, 0.14732855865632397], [-0.34016271515137764, 0.11966996911152111], [-0.43801823225162284, 0.09907147952991296], [-0.5366187602216154, 0.08240007035016102], [-0.6355835566063074, 0.06804844756608353]]"
2,agent_0,-20.89295218562013,1,15,1.101840315135071,1.0665491317753761,0.9679706915104402,8,1,9,1,0.06666666666666667,15,15,1.0,1.0,0.9967009644168028,2,0,9,2,1,0,0.0,0,2,a2c,0,0,6,"[-0.07393198719915674, 0.7812504664179365]","[[-0.07393198719915674, 0.7812504664179365], [-0.07393198719915674, 0.7812504664179365], [-0.07393198719915674, 0.7512504664179365], [-0.07393198719915674, 0.6972504664179364], [-0.07393198719915674, 0.6240504664179364], [-0.07393198719915674, 0.5354904664179363], [-0.07393198719915674, 0.4354904664179363], [-0.10393198719915675, 0.3554904664179363], [-0.15793198719915674, 0.2914904664179363], [-0.23113198719915676, 0.24029046641793628], [-0.3196919871991568, 0.19933046641793625], [-0.41460920030171056, 0.16785471929663026], [-0.5111287033653543, 0.1417016023055857], [-0.6081533383477462, 0.11748961753494752], [-0.7056460994592233, 0.09523739223363317]]"
2,agent_1,-28.773212977597133,1,25,1.8992627945559504,1.5491219939291978,0.8156438373718494,8,0,8,1,0.04,25,25,1.0,1.0,0.9967009644168028,2,5,13,2,1,0,0.0,0,2,a2c,0,0,6,"[0.7434264047869745, -0.13271731266691572]","[[0.7434264047869745, -0.13271731266691572], [0.7434264047869745, -0.13271731266691572], [0.7134264047869745, -0.13271731266691572], [0.6594264047869745, -0.13271731266691572], [0.5862264047869744, -0.13271731266691572], [0.4976664047869744, -0.13271731266691572], [0.39766640478697435, -0.13271731266691572], [0.29766640478697437, -0.13271731266691572], [0.19766640478697436, -0.13271731266691572], [0.09766640478697436, -0.13271731266691572], [-0.0023335952130256465, -0.13271731266691572], [-0.10233359521302565, -0.13271731266691572], [-0.20233359521302566, -0.13271731266691572], [-0.30233359521302566, -0.13271731266691572], [-0.4023335952130257, -0.13271731266691572], [-0.502329336143426, -0.1317943848364477], [-0.6022480520300684, -0.1277632292249079], [-0.7020025642085874, -0.12076056544419601], [-0.8016054267796449, -0.111857208344144], [-0.9011854143598131, -0.10270155033755947], [-0.9811121940419765, -0.06505090122412538], [-1.0150536177877072, -0.03493038193337811], [-1.0122067567842918, -0.010833966500780293], [-0.9799292679815594, 0.008443165845297959], [-0.9241072769393736, 0.023864871722160563]]"
2,agent_2,-9.084569206878543,1,19,1.5457600000000005,1.6541452090856137,1.0701177473123986,0,2,2,1,0.05263157894736842,19,19,1.0,1.0,0.9967009644168028,2,5,7,2,1,0,0.0,0,2,a2c,0,0,6,"[0.8540819617487452, 0.014465011521287563]","[[0.8540819617487452, 0.014465011521287563], [0.8540819617487452, 0.014465011521287563], [0.8240819617487452, 0.014465011521287563], [0.7700819617487451, 0.014465011521287563], [0.6968819617487451, 0.014465011521287563], [0.608321961748745, 0.014465011521287563], [0.508321961748745, 0.014465011521287563], [0.408321961748745, 0.014465011521287563], [0.30832196174874504, 0.014465011521287563], [0.20832196174874504, 0.014465011521287563], [0.10832196174874503, 0.014465011521287563], [0.008321961748745027, 0.014465011521287563], [-0.09167803825125498, 0.014465011521287563], [-0.19167803825125498, 0.014465011521287563], [-0.291678038251255, 0.014465011521287563], [-0.391678038251255, 0.014465011521287563], [-0.491678038251255, 0.014465011521287563], [-0.591678038251255, 0.014465011521287563], [-0.691678038251255, 0.014465011521287563]]"
2,agent_3,-24.532093527224706,1,18,1.3571227756787116,1.4713742869039979,1.084186569758324,8,0,8,1,0.05555555555555555,18,18,1.0,1.0,0.9967009644168028,2,4,12,2,1,0,0.0,0,2,a2c,0,0,6,"[0.6061784454215204, 0.4331333187301159]","[[0.6061784454215204, 0.4331333187301159], [0.6061784454215204, 0.4331333187301159], [0.6061784454215204, 0.4031333187301159], [0.5761784454215204, 0.37913331873011585], [0.5221784454215204, 0.35993331873011586], [0.4489784454215203, 0.3445733187301159], [0.3604184454215203, 0.33228531873011585], [0.2608901784164077, 0.32258356286022194], [0.1611398800157084, 0.31552112921653774], [0.061272006773315096, 0.3103822680546397], [-0.018622291820599546, 0.2762711791251213], [-0.11253773069573127, 0.24898230798150653], [-0.21044904310372314, 0.2286506847668044], [-0.3093405425537127, 0.21380240754240135], [-0.4087530834037102, 0.20297897362577497], [-0.48465813301561533, 0.16209879880576117], [-0.5725539569663433, 0.12274212788975744], [-0.6661214885009539, 0.08745591184836729]]"
