episode,agent_id,total_reward,success,evacuation_time,distance_travelled,direct_distance,path_efficiency,collisions,stationary_steps,congestion_ratio,scenario_id,algorithm,num_obstacles,num_exits,num_agents,trajectory
1,agent_0,99.48616150161297,1,15,1.7359116,0.8,0.4608529584294118,0,0,0.0,3,ppo,38,2,6,"[[0.0, 0.0], [-9.649812976535834e-32, 0.15000000596046448], [-1.7369664063061112e-31, 0.27000001072883606], [-1.4056751407020007e-30, 0.3659999966621399], [-2.6547901873795647e-28, 0.44279998540878296], [-1.131493025161476e-25, 0.5042399764060974], [-2.3897133795815638e-23, 0.2533920109272003], [0.15000000596046448, 0.20271359384059906], [0.27000001072883606, 0.1621708869934082], [0.2160000056028366, 0.2797366976737976], [0.1728000044822693, 0.37378937005996704], [0.1382399946451187, 0.4490315020084381], [0.11059185117483139, 0.5092252492904663], [0.23847346007823944, 0.40738019347190857], [0.19077876210212708, 0.4759041666984558], [0.15095074474811554, 0.5297155380249023]]"
1,agent_1,74.64771012560124,1,15,9.567288,0.8,0.08361825907799908,26,7,0.4666666666666667,3,ppo,38,2,6,"[[0.0, 0.0], [0.0, -0.15000000596046448], [0.0, -0.27000001072883606], [-1.401298464324817e-45, 1.0], [-1.401298464324817e-45, 1.0], [0.0, -1.0], [0.0, -1.0], [0.0005158183630555868, -0.9999998807907104], [0.0007189895841293037, 0.9999997615814209], [0.000888896407559514, 0.9999995827674866], [0.0016692959470674396, 0.9999986290931702], [0.002347387606278062, -0.9999972581863403], [0.0090243611484766, -0.9999592900276184], [0.00675420556217432, -0.999977171421051], [0.02066820301115513, 0.999786376953125], [0.03772825375199318, 0.999288022518158]]"
1,agent_2,89.24787778262646,1,15,6.6207933,0.8,0.1208314409775863,11,2,0.13333333333333333,3,ppo,38,2,6,"[[0.0, 0.0], [-0.15000000596046448, 5.456968427478004e-13], [-0.27000001072883606, 9.822543169460407e-13], [-1.0, -7.1761364212052925e-12], [-1.0, -7.273257083412199e-12], [-1.0, 1.0425221450005573e-11], [0.6290387511253357, 0.7773739695549011], [0.3223845064640045, 0.9466087818145752], [0.5928561687469482, 0.8053084015846252], [-0.9944279193878174, -0.1054186001420021], [-0.9626812934875488, 0.2706376612186432], [-0.9885463714599609, 0.1509174257516861], [-0.7908371090888977, 0.27073395252227783], [-0.6326696872711182, 0.36658716201782227], [-0.5061357617378235, 0.4432697296142578], [-0.25490859150886536, 0.3546157777309418]]"
1,agent_3,97.85893100891239,1,15,3.5979073,0.8,0.22235147607631897,10,0,0.0,3,ppo,38,2,6,"[[0.0, 0.0], [-0.15000000596046448, 1.401298464324817e-45], [-0.27000001072883606, 2.802596928649634e-45], [-0.3659999966621399, 5.507102964796531e-43], [-0.44279998540878296, 1.7044711807435256e-37], [-0.5042399764060974, 1.1389180447602935e-30], [-0.5533919930458069, 1.32018030812173e-22], [0.9956956505775452, 0.0926833376288414], [0.9999982714653015, 0.001868446939624846], [0.7999992370605469, 0.15149430930614471], [0.6399993896484375, 0.2711954414844513], [0.36199951171875, 0.21695636212825775], [0.13959962129592896, 0.1735650897026062], [-0.038320306688547134, 0.1388520747423172], [-0.18065623939037323, 0.11108165234327316], [-0.29452499747276306, 0.08886532485485077]]"
1,agent_4,98.02967226649139,1,15,3.270528,0.8,0.2446088157328522,20,1,0.06666666666666667,3,ppo,38,2,6,"[[0.0, 0.0], [9.649733042919978e-32, -0.15000000596046448], [1.736951947725596e-31, -0.27000001072883606], [1.4041655238369007e-30, -0.3659999966621399], [-9.177775519839407e-28, -0.44279998540878296], [-1.168151957371687e-19, -0.5041272640228271], [-1.2136280656721327e-15, 1.0], [-1.469236457011234e-15, 1.0], [-1.17539988057577e-15, 0.650007963180542], [-9.40319967988087e-16, 0.37000635266304016], [-7.522559426267341e-16, 0.1460050791501999], [-0.15000000596046448, 0.11680406332015991], [-0.11999999731779099, 0.09344325214624405], [-0.09600000083446503, 0.07475460320711136], [-0.07680000364780426, 0.05980367958545685], [-0.06143999844789505, -0.10215705633163452]]"
1,agent_5,96.30881387379767,1,15,6.6005845,0.8,0.1212013874154601,9,0,0.0,3,ppo,38,2,6,"[[0.0, 0.0], [-9.65000046788479e-32, -0.15000000596046448], [-1.7370000254445447e-31, -0.27000001072883606], [-1.4091974860143527e-30, -0.3659999966621399], [-3.0264111294349634e-27, -0.44279998540878296], [-3.4914873845158815e-15, -0.5041272640228271], [-0.04720890149474144, 0.9988850355148315], [-0.09561455994844437, 0.9954184293746948], [-0.6784640550613403, -0.7346336245536804], [-0.39282500743865967, -0.5877538919448853], [-0.16425999999046326, -0.47020310163497925], [-0.1316448301076889, -0.5255891680717468], [-0.4950386881828308, 0.8688709139823914], [-0.6129232048988342, 0.7901424765586853], [-0.4903385639190674, 0.6321139931678772], [-0.39227086305618286, 0.35569119453430176]]"
2,agent_0,99.48616150161297,1,15,1.7359116,0.8,0.4608529584294118,0,0,0.0,3,ppo,38,2,6,"[[0.0, 0.0], [-9.649812976535834e-32, 0.15000000596046448], [-1.7369664063061112e-31, 0.27000001072883606], [-1.4056751407020007e-30, 0.3659999966621399], [-2.6547901873795647e-28, 0.44279998540878296], [-1.131493025161476e-25, 0.5042399764060974], [-2.3897133795815638e-23, 0.2533920109272003], [0.15000000596046448, 0.20271359384059906], [0.27000001072883606, 0.1621708869934082], [0.2160000056028366, 0.2797366976737976], [0.1728000044822693, 0.37378937005996704], [0.1382399946451187, 0.4490315020084381], [0.11059185117483139, 0.5092252492904663], [0.23847346007823944, 0.40738019347190857], [0.19077876210212708, 0.4759041666984558], [0.15095074474811554, 0.5297155380249023]]"
2,agent_1,74.7110183754843,1,15,9.567288,0.8,0.08361825907799908,26,7,0.4666666666666667,3,ppo,38,2,6,"[[0.0, 0.0], [0.0, -0.15000000596046448], [0.0, -0.27000001072883606], [-1.401298464324817e-45, 1.0], [-1.401298464324817e-45, 1.0], [0.0, -1.0], [0.0, -1.0], [0.0005158183630555868, -0.9999998807907104], [0.0007189895841293037, 0.9999997615814209], [0.000888896407559514, 0.9999995827674866], [0.0016692959470674396, 0.9999986290931702], [0.002347387606278062, -0.9999972581863403], [0.0090243611484766, -0.9999592900276184], [0.00675420556217432, -0.999977171421051], [0.02066820301115513, 0.999786376953125], [0.03772825375199318, 0.999288022518158]]"
2,agent_2,89.24787778262646,1,15,6.6207933,0.8,0.1208314409775863,11,2,0.13333333333333333,3,ppo,38,2,6,"[[0.0, 0.0], [-0.15000000596046448, 5.456968427478004e-13], [-0.27000001072883606, 9.822543169460407e-13], [-1.0, -7.1761364212052925e-12], [-1.0, -7.273257083412199e-12], [-1.0, 1.0425221450005573e-11], [0.6290387511253357, 0.7773739695549011], [0.3223845064640045, 0.9466087818145752], [0.5928561687469482, 0.8053084015846252], [-0.9944279193878174, -0.1054186001420021], [-0.9626812934875488, 0.2706376612186432], [-0.9885463714599609, 0.1509174257516861], [-0.7908371090888977, 0.27073395252227783], [-0.6326696872711182, 0.36658716201782227], [-0.5061357617378235, 0.4432697296142578], [-0.25490859150886536, 0.3546157777309418]]"
2,agent_3,97.85893100891239,1,15,3.5979073,0.8,0.22235147607631897,10,0,0.0,3,ppo,38,2,6,"[[0.0, 0.0], [-0.15000000596046448, 1.401298464324817e-45], [-0.27000001072883606, 2.802596928649634e-45], [-0.3659999966621399, 5.507102964796531e-43], [-0.44279998540878296, 1.7044711807435256e-37], [-0.5042399764060974, 1.1389180447602935e-30], [-0.5533919930458069, 1.32018030812173e-22], [0.9956956505775452, 0.0926833376288414], [0.9999982714653015, 0.001868446939624846], [0.7999992370605469, 0.15149430930614471], [0.6399993896484375, 0.2711954414844513], [0.36199951171875, 0.21695636212825775], [0.13959962129592896, 0.1735650897026062], [-0.038320306688547134, 0.1388520747423172], [-0.18065623939037323, 0.11108165234327316], [-0.29452499747276306, 0.08886532485485077]]"
